repeat_index,dataset_rows,workers,queue_size,workload,total_requests,success_requests,rejected_requests,error_requests,total_ms,avg_ms,p95_ms,max_ms,error_breakdown_json
8,100000,16,512,mixed,10000,528,9472,0,1245.180,961.713,1202.666,1233.803,{}
9,100000,16,512,mixed,10000,528,9472,0,1243.317,960.278,1200.360,1231.574,{}
10,100000,16,512,mixed,10000,528,9472,0,1250.544,967.008,1207.492,1238.996,{}
1,100000,4,512,mixed,20000,516,15832,3652,13668.138,10741.988,13530.523,13643.230,"{""oserror_49"": 3652}"
2,100000,4,512,mixed,20000,516,15838,3646,13705.119,10777.921,13566.713,13683.243,"{""oserror_49"": 3646}"
3,100000,4,512,mixed,20000,516,15841,3643,14172.317,11143.967,14033.679,14150.702,"{""oserror_49"": 3643}"
4,100000,4,512,mixed,20000,516,15843,3641,15715.156,12421.182,15579.475,15671.837,"{""oserror_49"": 3641}"
5,100000,4,512,mixed,20000,516,15841,3643,12784.867,10026.906,12647.070,12763.180,"{""oserror_49"": 3643}"
6,100000,4,512,mixed,20000,516,15835,3649,9705.610,7530.532,9575.378,9685.846,"{""oserror_49"": 3649}"
7,100000,4,512,mixed,20000,516,15831,3653,10649.387,8308.264,10516.869,10628.298,"{""oserror_49"": 3653}"
8,100000,4,512,mixed,20000,516,15833,3651,11317.578,8823.188,11185.914,11277.241,"{""oserror_49"": 3651}"
9,100000,4,512,mixed,20000,516,15836,3648,10871.101,8498.560,10740.280,10850.463,"{""oserror_49"": 3648}"
10,100000,4,512,mixed,20000,516,15834,3650,10300.017,8020.401,10168.527,10278.512,"{""oserror_49"": 3650}"
1,100000,8,512,mixed,20000,520,15827,3653,10581.314,8252.028,10455.318,10542.465,"{""oserror_49"": 3653}"
2,100000,8,512,mixed,20000,520,15826,3654,8910.092,6899.185,8786.718,8874.040,"{""oserror_49"": 3654}"
3,100000,8,512,mixed,20000,520,15830,3650,9187.495,7129.116,9060.826,9167.620,"{""oserror_49"": 3650}"
4,100000,8,512,mixed,20000,520,15830,3650,8819.732,6837.521,8693.299,8799.985,"{""oserror_49"": 3650}"
5,100000,8,512,mixed,20000,520,15829,3651,9044.729,7014.071,8918.925,9024.411,"{""oserror_49"": 3651}"
6,100000,8,512,mixed,20000,520,15827,3653,8936.598,6918.454,8808.839,8897.033,"{""oserror_49"": 3653}"
7,100000,8,512,mixed,20000,520,15827,3653,9475.283,7365.798,9351.101,9438.897,"{""oserror_49"": 3653}"
8,100000,8,512,mixed,20000,520,15829,3651,9658.730,7515.972,9534.893,9638.563,"{""oserror_49"": 3651}"
9,100000,8,512,mixed,20000,520,15827,3653,8453.727,6487.281,8300.351,8431.805,"{""oserror_49"": 3653}"
10,100000,8,512,mixed,20000,520,15828,3652,8529.596,6592.282,8407.808,8510.132,"{""oserror_49"": 3652}"
1,100000,16,512,mixed,20000,528,15817,3655,8693.026,6736.119,8572.740,8656.845,"{""oserror_49"": 3655}"
2,100000,16,512,mixed,20000,528,15817,3655,9522.074,7276.446,9382.681,9473.146,"{""oserror_49"": 3655}"
3,100000,16,512,mixed,20000,528,15819,3653,12309.634,9680.159,12177.797,12289.631,"{""oserror_49"": 3653}"
4,100000,16,512,mixed,20000,528,15823,3649,14615.144,11507.002,14469.831,14593.401,"{""oserror_49"": 3649}"
5,100000,16,512,mixed,20000,528,15825,3647,14408.312,11353.227,14271.176,14386.952,"{""oserror_49"": 3647}"
6,100000,16,512,mixed,20000,528,15824,3648,14687.155,11577.125,14555.749,14643.988,"{""oserror_49"": 3648}"
7,100000,16,512,mixed,20000,528,15822,3650,14545.111,11448.914,14410.458,14502.827,"{""oserror_49"": 3650}"
8,100000,16,512,mixed,20000,528,15822,3650,14644.978,11545.750,14506.705,14623.955,"{""oserror_49"": 3650}"
9,100000,16,512,mixed,20000,528,15824,3648,14399.663,11343.119,14261.358,14378.583,"{""oserror_49"": 3648}"
10,100000,16,512,mixed,20000,528,15824,3648,14766.742,11638.677,14630.789,14744.688,"{""oserror_49"": 3648}"
1,1000000,4,512,mixed,10000,516,9484,0,1257.544,974.310,1215.905,1245.872,{}
2,1000000,4,512,mixed,10000,516,9484,0,1270.612,981.462,1229.355,1259.550,{}
3,1000000,4,512,mixed,10000,516,9484,0,1289.854,1001.656,1246.414,1277.994,{}
4,1000000,4,512,mixed,10000,516,9484,0,1203.092,928.352,1164.488,1191.463,{}
5,1000000,4,512,mixed,10000,516,9484,0,1132.774,874.575,1096.341,1122.129,{}
6,1000000,4,512,mixed,10000,516,9484,0,1479.451,1222.522,1440.307,1467.974,{}
7,1000000,4,512,mixed,10000,516,9484,0,1286.324,993.539,1243.010,1274.747,{}
8,1000000,4,512,mixed,10000,516,9484,0,1301.188,1026.740,1258.288,1288.696,{}
9,1000000,4,512,mixed,10000,516,9484,0,1108.117,855.373,1072.461,1097.576,{}
10,1000000,4,512,mixed,10000,516,9484,0,1190.327,922.506,1151.546,1179.598,{}
1,1000000,8,512,mixed,10000,520,9480,0,1125.730,873.555,1089.554,1114.943,{}
2,1000000,8,512,mixed,10000,520,9480,0,1284.037,991.820,1240.640,1272.120,{}
3,1000000,8,512,mixed,10000,520,9480,0,1245.419,962.665,1200.988,1233.692,{}
4,1000000,8,512,mixed,10000,520,9480,0,1250.611,967.401,1207.054,1238.767,{}
5,1000000,8,512,mixed,10000,520,9480,0,1249.742,969.944,1209.834,1238.766,{}
6,1000000,8,512,mixed,10000,520,9480,0,1257.363,974.700,1216.103,1246.284,{}
7,1000000,8,512,mixed,10000,520,9480,0,1261.139,976.670,1220.549,1249.808,{}
8,1000000,8,512,mixed,10000,520,9480,0,1257.390,977.430,1216.582,1246.258,{}
9,1000000,8,512,mixed,10000,520,9480,0,1266.853,980.754,1222.286,1254.947,{}
10,1000000,8,512,mixed,10000,520,9480,0,1255.339,970.511,1211.581,1242.904,{}
1,1000000,16,512,mixed,10000,528,9472,0,1279.652,993.433,1236.409,1267.606,{}
2,1000000,16,512,mixed,10000,528,9472,0,1261.148,974.680,1217.176,1249.771,{}
3,1000000,16,512,mixed,10000,528,9472,0,1257.244,974.200,1214.793,1245.653,{}
4,1000000,16,512,mixed,10000,528,9472,0,1266.180,980.398,1222.480,1254.330,{}
5,1000000,16,512,mixed,10000,528,9472,0,1261.524,977.378,1218.032,1250.095,{}
6,1000000,16,512,mixed,10000,528,9472,0,1256.281,967.240,1207.795,1244.946,{}
7,1000000,16,512,mixed,10000,528,9472,0,1259.253,974.298,1216.130,1246.936,{}
8,1000000,16,512,mixed,10000,528,9472,0,1267.117,982.275,1223.588,1255.677,{}
9,1000000,16,512,mixed,10000,528,9472,0,1254.531,970.434,1214.101,1243.628,{}
10,1000000,16,512,mixed,10000,528,9472,0,1262.305,973.517,1213.862,1250.735,{}
1,1000000,4,512,mixed,20000,516,15835,3649,14251.145,11208.286,14116.658,14207.730,"{""oserror_49"": 3649}"
2,1000000,4,512,mixed,20000,516,15839,3645,14259.584,11225.193,14124.971,14217.594,"{""oserror_49"": 3645}"
3,1000000,4,512,mixed,20000,516,15841,3643,13919.922,10957.348,13783.636,13898.466,"{""oserror_49"": 3643}"
4,1000000,4,512,mixed,20000,516,15838,3646,14522.548,11445.334,14384.734,14501.111,"{""oserror_49"": 3646}"
5,1000000,4,512,mixed,20000,516,15836,3648,14106.808,11101.195,13972.066,14085.070,"{""oserror_49"": 3648}"
6,1000000,4,512,mixed,20000,516,15836,3648,14270.307,11237.793,14136.241,14228.114,"{""oserror_49"": 3648}"
7,1000000,4,512,mixed,20000,516,15839,3645,14000.363,11009.338,13857.002,13979.430,"{""oserror_49"": 3645}"
8,1000000,4,512,mixed,20000,516,15839,3645,15039.892,11867.360,14900.372,15018.733,"{""oserror_49"": 3645}"
9,1000000,4,512,mixed,20000,516,15839,3645,14029.823,11044.931,13896.349,13987.087,"{""oserror_49"": 3645}"
10,1000000,4,512,mixed,20000,516,15838,3646,14265.595,11229.799,14131.700,14223.184,"{""oserror_49"": 3646}"
1,1000000,8,512,mixed,20000,520,15836,3644,14176.571,11166.719,14035.967,14155.271,"{""oserror_49"": 3644}"
2,1000000,8,512,mixed,20000,520,15838,3642,14546.669,11469.159,14408.939,14525.119,"{""oserror_49"": 3642}"
3,1000000,8,512,mixed,20000,520,15834,3646,14291.258,11250.461,14154.071,14269.513,"{""oserror_49"": 3646}"
4,1000000,8,512,mixed,20000,520,15831,3649,14731.327,11444.697,14577.848,14680.837,"{""oserror_49"": 3649}"
5,1000000,8,512,mixed,20000,520,15834,3646,14204.342,11177.615,14069.951,14161.768,"{""oserror_49"": 3646}"
6,1000000,8,512,mixed,20000,520,15835,3645,15649.735,12365.268,15510.156,15628.191,"{""oserror_49"": 3645}"
7,1000000,8,512,mixed,20000,520,15830,3650,13965.820,10989.953,13827.289,13944.023,"{""oserror_49"": 3650}"
8,1000000,8,512,mixed,20000,520,15836,3644,13777.478,10836.616,13639.692,13756.111,"{""oserror_49"": 3644}"
9,1000000,8,512,mixed,20000,520,15836,3644,14163.886,11152.246,14029.870,14121.431,"{""oserror_49"": 3644}"
10,1000000,8,512,mixed,20000,520,15836,3644,15492.624,12236.029,15354.313,15470.905,"{""oserror_49"": 3644}"
1,1000000,16,512,mixed,20000,528,15826,3646,15819.904,12496.849,15681.144,15798.199,"{""oserror_49"": 3646}"
2,1000000,16,512,mixed,20000,528,15829,3643,13753.559,10816.145,13614.516,13732.267,"{""oserror_49"": 3643}"
3,1000000,16,512,mixed,20000,528,15827,3645,13983.279,10996.310,13848.812,13940.874,"{""oserror_49"": 3645}"
4,1000000,16,512,mixed,20000,528,15828,3644,14167.536,11161.947,14029.903,14146.184,"{""oserror_49"": 3644}"
5,1000000,16,512,mixed,20000,528,15826,3646,14926.501,11775.538,14787.418,14905.725,"{""oserror_49"": 3646}"
6,1000000,16,512,mixed,20000,528,15825,3647,14127.680,11111.462,13967.734,14106.464,"{""oserror_49"": 3647}"
7,1000000,16,512,mixed,20000,528,15827,3645,14108.360,11106.670,13971.449,14087.641,"{""oserror_49"": 3645}"
8,1000000,16,512,mixed,20000,528,15827,3645,14128.120,11121.767,13991.612,14083.855,"{""oserror_49"": 3645}"
9,1000000,16,512,mixed,20000,528,15828,3644,16138.560,12763.746,16003.454,16097.021,"{""oserror_49"": 3644}"
10,1000000,16,512,mixed,20000,528,15829,3643,13937.124,10974.046,13801.512,13915.701,"{""oserror_49"": 3643}"
